text,x,y
"trending: new yorkers encounter empty supermarket shelves (pictured, wegmans in brooklyn), sold-out online grocers (foodkick, maxdelivery) as #coronavirus-fearing shoppers stock up https://t.co/gr76pcrlwh https://t.co/ivmkmsqdt1",5.9752045,1.7527003
"when i couldn't find hand sanitizer at fred meyer, i turned to #amazon. but $114.97 for a 2 pack of purell??!!check out how  #coronavirus concerns are driving up prices. https://t.co/ygbipbflmy",4.8034883,4.6396523
find out how you can protect yourself and loved ones from #coronavirus. ?,5.4308734,4.064996
"#panic buying hits #newyork city as anxious shoppers stock up on food&amp;medical supplies after #healthcare worker in her 30s becomes #bigapple 1st confirmed #coronavirus patient or a #bloomberg staged event?

https://t.co/iasiregpc4

#qanon #qanon2018 #qanon2020 
#election2020 #cdc https://t.co/29iszoewxu",6.691323,2.0966463
#toiletpaper #dunnypaper #coronavirus #coronavirusaustralia #coronavirusupdate #covid_19 #9news  #corvid19 #7newsmelb #dunnypapergate #costco    one week everyone buying baby milk powder the next everyone buying up toilet paper. https://t.co/sczryvvsih,6.130429,0.05600934
do you remember the last time you paid $2.99 a gallon for regular gas in los angeles?prices at the pump are going down. a look at how the #coronavirus is impacting prices. 4pm @abc7 https://t.co/pyzq8ymuv5,5.5154757,3.9323761
voting in the age of #coronavirus = hand sanitizer ? #supertuesday https://t.co/z0bel4o6dk,5.3430014,4.2941256
"@drtedros ""we cant stop #covid19 without protecting #healthworkers.
prices of surgical masks have increased six-fold, n95 respirators have more than trebled &amp; gowns cost twice as much""-@drtedros #coronavirus",4.8758683,5.1207547
"hi twitter! i am a pharmacist. i sell hand sanitizer for a living! or i do when any exists. like masks, it is sold the fuck out everywhere. should you be worried? no. use soap. should you visit twenty pharmacies looking for the last bottle? no. pharmacies are full of sick people.",4.8301125,4.827548
"anyone been in a supermarket over the last few days? went to do my normal shop last night &amp; ??is the sight that greeted me. barmy! (btw, whats so special about tinned tomatoes? ????????????). #covid_19 #dublin https://t.co/rgsm8xuxr6",7.845963,0.6088336
"best quality couches at unbelievably low prices available to order.

we are in boksburg gp 

for more info whatsapp:
084 764 8086

#supertuesdsy #powertalk 
#covid_19 #sayentrepreneur 
#djsbu https://t.co/hhdjhyq2dc",9.576961,4.193923
"beware of counterfeits trying to sell fake masks at cheap prices. let's defeat coronavirus threat, #covid_19 collectively. #besafe #beacascader #coronavirusreachesdelhi 
#coronavirusindia 

https://t.co/2ikkmimj4f https://t.co/rb9rtt7nkc",4.5400343,5.2206864
"panic food buying in germany due to #coronavirus has begun.  but the #organic is left behind! #hamsterkauf

panic buying is called ""hamster purchases""(hamsterkäufe) in german, taken from the way hamsters stuff their cheeks with food.  

https://t.co/ayqtllgw1m",10.113884,0.8135071
"#covid_19 went to the grocery store, turns out all cleaning supplies have been bought out for fear of coronavirus.

my daughter's substitute teacher showed her class how to make hand sanitizer. now i just need to buy some 100% alcohol. wish me luck that any stores will have it.",4.949564,3.8925018
"while we were busy watching election returns and bracing for a covid-19 outbreak, trump nominated a chemical-industry lobbyist to head the consumer product safety commission https://t.co/m2shhi1tn0",8.076665,5.3145704
"#airsewa 

@flyspicejet is not providing #webchecin customers free seats.

passengers are forced to choose paid seats as free seats are made available only at airport counter. 

this should be stopped as its discriminatory and against travellers rights 

@hardeepspuri @moca_goi",7.0483947,6.311033
"what precautionary measures have you all taken in your respective restaurants and hotels, comment below...
#covid-19 #coronavirus

covid-19: hotel chains enforce precautionary measures, issue safety, hygiene advisories
https://t.co/7zo2vqspzy",6.049146,4.433837
"when youre stockpiling food &amp; other supplies, buy extra for your local food bank. many families dont have the luxury to spend beyond their weekly budget. @dailybreadto  #coronavirus",5.820572,2.7985342
"that's about a week from now. a bit optimistic.  probably it will take another month.  supply chain may be recovering, demand chain will be non-existent in us and europe for the next month or two.
$spx $qqq $es $nq https://t.co/yxcofl0bni",9.967515,2.7090824
"studies show the #coronavirus like #covid19 can live up to nine days on hard surfaces like metal, plastic, and glass.

our deputy commissioner of consumer affairs mary barzee flores shows you how to keep clean at the gas pump.

watch and share? https://t.co/aiqatwt5zz",5.2019567,3.8472505
"#coronavirus #covid_19 people are starting to become frightened and to do #panicshopping. many shelves, meanwhile, turn empty as #goods are sold. #facemasks &amp; disinfection liquid are sold out, or they are sold for exorbitant prices! #blockchain #cryptonews https://t.co/akr3lmlekf",6.1497602,2.6235414
"for those of you that think credit/debit is just as good as #bitcoin when it comes to combating #coronavirus, keep in mind that this is not a ""contactless transaction.""  how many people at your grocery store or gas station touch this keypad every day? https://t.co/wvq8bb9ols",6.858486,3.6426342
control over stocks and gold is lost...gold coming back very nicely! loves wallbridge and balmoral and warns listeners about #coronavirus sprott money ltd. recently put in money to $ocg $genm $mmg and many more... https://t.co/3aurz2e4sj,7.554248,5.339666
"sellers are cashing on your panic to sell facemasks and sanitizers at super inflated prices.

in reality, neither sanitizer nor facemasks are ""must have"" to save yourself from #coronavirus. 

please watch this video for more :

https://t.co/sgofnau4j8",4.9400454,4.859327
"canada's oilpatch is bracing for the impact of plunging crude prices after opec and its allies failed to reach a deal aimed at cutting production as economies slow because of the novel #coronavirus. the fool @jkenney based his budget on hired oil prices 

https://t.co/fdcpqpvpuo",8.113711,5.742562
