index,tweet,prompt1,prompt1_label,prompt1_reason,prompt2,prompt2_label,prompt2_reason,prompt3,prompt3_label,prompt3_reason
0,"TRENDING: New Yorkers encounter empty supermarket shelves (pictured, Wegmans in Brooklyn), sold-out online grocers (FoodKick, MaxDelivery) as #coronavirus-fearing shoppers stock up https://t.co/Gr76pcrLWh https://t.co/ivMKMsqdT1","Assess the sentiment and message conveyed in the tweet above about the corona virus pandemic handling. Choose a label from the options and provide a concise justification in JSON format, considering specific details and context.",Negative,"The tweet conveys a sense of panic and fear with the mention of empty supermarket shelves and sold-out online grocers, indicating that people are stockpiling supplies in response to the coronavirus pandemic. This behavior can lead to shortages and negatively impact the availability of essential goods for others in the community.","Here are some example tweets about the corona virus pandemic handling:

  * ""So grateful for all the frontline workers who helped us get through this pandemic!"" (Positive)
  * ""Frustrated with the mixed messages from officials about the pandemic. Wish there was a clear plan."" (Negative)
  * ""Finally seeing a decrease in cases! Maybe we can finally move on from this."" (Neutral)

Now, assess the sentiment and message conveyed in the following tweet about the corona virus pandemic handling:",Negative,"The tweet mentions empty supermarket shelves and sold-out online grocers due to coronavirus-fearing shoppers stocking up, which highlights the panic and fear surrounding the pandemic. This conveys a negative sentiment about the current situation.","The COVID-19 pandemic has been ongoing for several years, with many countries now in various stages of recovery. 

Now, evaluate the overall sentiment and message in the following tweet regarding corona virus pandemic handling:

  * Consider whether the tweet reflects on past handling of the pandemic or the current situation.
  * Look for clues about the author's opinion on the effectiveness of the response.",Negative,"The tweet reflects a negative sentiment as it highlights empty shelves in supermarkets and sold-out online grocery services, indicating panic buying and fear among shoppers. It suggests that people are stockpiling supplies due to fear of the virus, which may reflect poorly on the handling of the pandemic."
1,"When I couldn't find hand sanitizer at Fred Meyer, I turned to #Amazon. But $114.97 for a 2 pack of Purell??!!Check out how  #coronavirus concerns are driving up prices. https://t.co/ygbipBflMY","Assess the sentiment and message conveyed in the tweet above about the corona virus pandemic handling. Choose a label from the options and provide a concise justification in JSON format, considering specific details and context.",Negative,The tweet conveys frustration and disbelief at the exorbitant prices of essential items like hand sanitizer during the coronavirus pandemic. The mention of the price of $114.97 for a 2 pack of Purell highlights the issue of price gouging and exploitation of consumer fears during a time of crisis.,"Here are some example tweets about the corona virus pandemic handling:

  * ""So grateful for all the frontline workers who helped us get through this pandemic!"" (Positive)
  * ""Frustrated with the mixed messages from officials about the pandemic. Wish there was a clear plan."" (Negative)
  * ""Finally seeing a decrease in cases! Maybe we can finally move on from this."" (Neutral)

Now, assess the sentiment and message conveyed in the following tweet about the corona virus pandemic handling:",Negative,"The tweet expresses frustration about the high price of hand sanitizer during the pandemic, highlighting how coronavirus concerns are driving up prices. This can be seen as a negative sentiment towards the handling of the pandemic.","The COVID-19 pandemic has been ongoing for several years, with many countries now in various stages of recovery. 

Now, evaluate the overall sentiment and message in the following tweet regarding corona virus pandemic handling:

  * Consider whether the tweet reflects on past handling of the pandemic or the current situation.
  * Look for clues about the author's opinion on the effectiveness of the response.",Negative,"The tweet expresses frustration at the high price of hand sanitizer and indicates a negative sentiment towards how coronavirus concerns are driving up prices. The author's opinion on pandemic handling is not explicitly stated, but the high price of essential items suggests dissatisfaction with how the situation is being managed."
2,Find out how you can protect yourself and loved ones from #coronavirus. ?,"Assess the sentiment and message conveyed in the tweet above about the corona virus pandemic handling. Choose a label from the options and provide a concise justification in JSON format, considering specific details and context.",Positive,"The tweet is urging people to find out how they can protect themselves and their loved ones, which conveys a responsible and caring message. It emphasizes the importance of taking proactive measures to prevent the spread of the coronavirus, showing concern for public health and safety.","Here are some example tweets about the corona virus pandemic handling:

  * ""So grateful for all the frontline workers who helped us get through this pandemic!"" (Positive)
  * ""Frustrated with the mixed messages from officials about the pandemic. Wish there was a clear plan."" (Negative)
  * ""Finally seeing a decrease in cases! Maybe we can finally move on from this."" (Neutral)

Now, assess the sentiment and message conveyed in the following tweet about the corona virus pandemic handling:",Extremely Positive,"The tweet encourages people to take action to protect themselves and their loved ones from the coronavirus, which is a responsible and proactive approach to the situation.","The COVID-19 pandemic has been ongoing for several years, with many countries now in various stages of recovery. 

Now, evaluate the overall sentiment and message in the following tweet regarding corona virus pandemic handling:

  * Consider whether the tweet reflects on past handling of the pandemic or the current situation.
  * Look for clues about the author's opinion on the effectiveness of the response.",Extremely Positive,"The tweet promotes proactive measures to protect oneself and loved ones from coronavirus, indicating a proactive and responsible approach to preventing the spread of the virus. It also suggests a sense of care and concern for others, showing a positive sentiment towards handling the pandemic."
3,"#Panic buying hits #NewYork City as anxious shoppers stock up on food&amp;medical supplies after #healthcare worker in her 30s becomes #BigApple 1st confirmed #coronavirus patient OR a #Bloomberg staged event?



https://t.co/IASiReGPC4



#QAnon #QAnon2018 #QAnon2020 

#Election2020 #CDC https://t.co/29isZOewxu","Assess the sentiment and message conveyed in the tweet above about the corona virus pandemic handling. Choose a label from the options and provide a concise justification in JSON format, considering specific details and context.",Negative,The tweet suggests a conspiracy theory by questioning whether the confirmed coronavirus case in New York City is a staged event. This undermines the seriousness of the pandemic and creates unnecessary fear and doubt among the public. The use of hashtags like #QAnon and insinuating that panic buying may be a result of a potentially orchestrated event reflects a negative sentiment towards the handling of the coronavirus outbreak.,"Here are some example tweets about the corona virus pandemic handling:

  * ""So grateful for all the frontline workers who helped us get through this pandemic!"" (Positive)
  * ""Frustrated with the mixed messages from officials about the pandemic. Wish there was a clear plan."" (Negative)
  * ""Finally seeing a decrease in cases! Maybe we can finally move on from this."" (Neutral)

Now, assess the sentiment and message conveyed in the following tweet about the corona virus pandemic handling:",Negative,"The tweet suggests that the first confirmed coronavirus case in New York City could be a staged event by Michael Bloomberg, which promotes conspiracy theories and creates unnecessary fear and doubt in the public. This spreads misinformation and undermines the seriousness of the situation.","The COVID-19 pandemic has been ongoing for several years, with many countries now in various stages of recovery. 

Now, evaluate the overall sentiment and message in the following tweet regarding corona virus pandemic handling:

  * Consider whether the tweet reflects on past handling of the pandemic or the current situation.
  * Look for clues about the author's opinion on the effectiveness of the response.",Negative,"The tweet suggests a negative sentiment by questioning whether the first confirmed coronavirus case in New York City was a staged event by Bloomberg. It portrays panic buying and anxiety among shoppers, indicating a lack of trust in the handling of the pandemic."
4,#toiletpaper #dunnypaper #coronavirus #coronavirusaustralia #CoronaVirusUpdate #Covid_19 #9News  #Corvid19 #7NewsMelb #dunnypapergate #Costco    One week everyone buying baby milk powder the next everyone buying up toilet paper. https://t.co/ScZryVvsIh,"Assess the sentiment and message conveyed in the tweet above about the corona virus pandemic handling. Choose a label from the options and provide a concise justification in JSON format, considering specific details and context.",Negative,"The tweet conveys a negative sentiment towards the panic buying of toilet paper during the coronavirus pandemic. It criticizes the sudden shift in consumer behavior and highlights the irrationality of stockpiling certain items during a crisis, suggesting that people are overreacting to the situation.","Here are some example tweets about the corona virus pandemic handling:

  * ""So grateful for all the frontline workers who helped us get through this pandemic!"" (Positive)
  * ""Frustrated with the mixed messages from officials about the pandemic. Wish there was a clear plan."" (Negative)
  * ""Finally seeing a decrease in cases! Maybe we can finally move on from this."" (Neutral)

Now, assess the sentiment and message conveyed in the following tweet about the corona virus pandemic handling:",Negative,"The tweet highlights the panic buying of toilet paper during the pandemic, which can be seen as a negative aspect of the handling of the situation. It suggests that people are panicking and stocking up on supplies unexpectedly, leading to shortages and potentially causing unnecessary stress and chaos.","The COVID-19 pandemic has been ongoing for several years, with many countries now in various stages of recovery. 

Now, evaluate the overall sentiment and message in the following tweet regarding corona virus pandemic handling:

  * Consider whether the tweet reflects on past handling of the pandemic or the current situation.
  * Look for clues about the author's opinion on the effectiveness of the response.",Negative,"The tweet expresses frustration and confusion about the rapid shifts in consumer behavior during the pandemic, suggesting a lack of preparedness and coordination in response to the crisis."
5,Do you remember the last time you paid $2.99 a gallon for regular gas in Los Angeles?Prices at the pump are going down. A look at how the #coronavirus is impacting prices. 4pm @ABC7 https://t.co/Pyzq8YMuV5,"Assess the sentiment and message conveyed in the tweet above about the corona virus pandemic handling. Choose a label from the options and provide a concise justification in JSON format, considering specific details and context.",Negative,"The tweet conveys a negative sentiment by focusing on the lower gas prices as a result of the coronavirus pandemic, which may be seen as profiting off of a global crisis. It fails to address the more serious and widespread implications of the pandemic on public health and economic stability.","Here are some example tweets about the corona virus pandemic handling:

  * ""So grateful for all the frontline workers who helped us get through this pandemic!"" (Positive)
  * ""Frustrated with the mixed messages from officials about the pandemic. Wish there was a clear plan."" (Negative)
  * ""Finally seeing a decrease in cases! Maybe we can finally move on from this."" (Neutral)

Now, assess the sentiment and message conveyed in the following tweet about the corona virus pandemic handling:",Positive,"The tweet mentions that gas prices are going down due to the coronavirus, which can be seen as a positive outcome of the pandemic. Additionally, it suggests that lower gas prices can be a silver lining in the current situation.","The COVID-19 pandemic has been ongoing for several years, with many countries now in various stages of recovery. 

Now, evaluate the overall sentiment and message in the following tweet regarding corona virus pandemic handling:

  * Consider whether the tweet reflects on past handling of the pandemic or the current situation.
  * Look for clues about the author's opinion on the effectiveness of the response.",Positive,"The tweet mentions that prices at the pump are going down due to the impact of the coronavirus, indicating a positive effect on gas prices. The focus is on the current situation and how the pandemic is influencing prices, rather than criticizing past handling of the pandemic."
6,Voting in the age of #coronavirus = hand sanitizer ? #SuperTuesday https://t.co/z0BeL4O6Dk,"Assess the sentiment and message conveyed in the tweet above about the corona virus pandemic handling. Choose a label from the options and provide a concise justification in JSON format, considering specific details and context.",Positive,"The tweet conveys a positive sentiment by suggesting a proactive measure of using hand sanitizer while voting during the coronavirus pandemic. It indicates awareness and consideration for safety measures, which is important for preventing the spread of the virus.","Here are some example tweets about the corona virus pandemic handling:

  * ""So grateful for all the frontline workers who helped us get through this pandemic!"" (Positive)
  * ""Frustrated with the mixed messages from officials about the pandemic. Wish there was a clear plan."" (Negative)
  * ""Finally seeing a decrease in cases! Maybe we can finally move on from this."" (Neutral)

Now, assess the sentiment and message conveyed in the following tweet about the corona virus pandemic handling:",Positive,"The tweet expresses a positive sentiment by emphasizing the importance of hand sanitizer in voting during the pandemic. It also suggests that taking necessary precautions, like using hand sanitizer, can help mitigate the risks associated with voting on Super Tuesday.","The COVID-19 pandemic has been ongoing for several years, with many countries now in various stages of recovery. 

Now, evaluate the overall sentiment and message in the following tweet regarding corona virus pandemic handling:

  * Consider whether the tweet reflects on past handling of the pandemic or the current situation.
  * Look for clues about the author's opinion on the effectiveness of the response.",Positive,"The tweet suggests that voting in the age of coronavirus involves using hand sanitizer, indicating a proactive approach to mitigating the spread of the virus. This implies that the author believes in taking necessary precautions to ensure safety during voting, which is a positive sentiment."
7,"@DrTedros ""We cant stop #COVID19 without protecting #healthworkers.

Prices of surgical masks have increased six-fold, N95 respirators have more than trebled &amp; gowns cost twice as much""-@DrTedros #coronavirus","Assess the sentiment and message conveyed in the tweet above about the corona virus pandemic handling. Choose a label from the options and provide a concise justification in JSON format, considering specific details and context.",Extremely Positive,"The tweet from @DrTedros emphasizes the importance of protecting health workers in the fight against COVID-19, highlighting the significant increase in prices for essential protective equipment. This message conveys a sense of urgency and advocacy for the well-being of frontline workers, making it extremely positive in terms of raising awareness and calling for action to address the challenges faced by healthcare personnel during the pandemic.","Here are some example tweets about the corona virus pandemic handling:

  * ""So grateful for all the frontline workers who helped us get through this pandemic!"" (Positive)
  * ""Frustrated with the mixed messages from officials about the pandemic. Wish there was a clear plan."" (Negative)
  * ""Finally seeing a decrease in cases! Maybe we can finally move on from this."" (Neutral)

Now, assess the sentiment and message conveyed in the following tweet about the corona virus pandemic handling:",Positive,The tweet acknowledges the importance of protecting health workers in the fight against COVID-19 and highlights the challenges they are facing with the increasing prices of essential protective equipment. This shows support and empathy towards those on the frontline of the pandemic.,"The COVID-19 pandemic has been ongoing for several years, with many countries now in various stages of recovery. 

Now, evaluate the overall sentiment and message in the following tweet regarding corona virus pandemic handling:

  * Consider whether the tweet reflects on past handling of the pandemic or the current situation.
  * Look for clues about the author's opinion on the effectiveness of the response.",Positive,"The tweet highlights the importance of protecting health workers and the challenges they are facing with increased prices of essential protective equipment. This shows a concern for the well-being of those on the frontlines of the pandemic, indicating a positive sentiment towards supporting and prioritizing health workers during the ongoing crisis."
8,"HI TWITTER! I am a pharmacist. I sell hand sanitizer for a living! Or I do when any exists. Like masks, it is sold the fuck out everywhere. SHOULD YOU BE WORRIED? No. Use soap. SHOULD YOU VISIT TWENTY PHARMACIES LOOKING FOR THE LAST BOTTLE? No. Pharmacies are full of sick people.","Assess the sentiment and message conveyed in the tweet above about the corona virus pandemic handling. Choose a label from the options and provide a concise justification in JSON format, considering specific details and context.",Positive,"The tweet conveys a positive message by reassuring people about the availability of hand sanitizer during the pandemic. The pharmacist recommends using soap instead and advises against visiting multiple pharmacies in search of hand sanitizer, in order to avoid contact with sick individuals. This promotes a practical and safe approach to personal hygiene without causing panic or unnecessary risk.","Here are some example tweets about the corona virus pandemic handling:

  * ""So grateful for all the frontline workers who helped us get through this pandemic!"" (Positive)
  * ""Frustrated with the mixed messages from officials about the pandemic. Wish there was a clear plan."" (Negative)
  * ""Finally seeing a decrease in cases! Maybe we can finally move on from this."" (Neutral)

Now, assess the sentiment and message conveyed in the following tweet about the corona virus pandemic handling:",Extremely Negative,"The tweet expresses frustration and anger at the lack of hand sanitizer availability, which is a necessary item during a pandemic. The tone is also dismissive of concerns about visiting multiple pharmacies for hand sanitizer, which could potentially put people at risk of exposure to illness.","The COVID-19 pandemic has been ongoing for several years, with many countries now in various stages of recovery. 

Now, evaluate the overall sentiment and message in the following tweet regarding corona virus pandemic handling:

  * Consider whether the tweet reflects on past handling of the pandemic or the current situation.
  * Look for clues about the author's opinion on the effectiveness of the response.",Negative,"The tweet conveys frustration about the lack of hand sanitizer availability and dismisses the importance of visiting multiple pharmacies to find it, indicating a negative sentiment towards the current handling of the pandemic response."
9,"Anyone been in a supermarket over the last few days? Went to do my NORMAL shop last night &amp; ??is the sight that greeted me. Barmy! (Btw, whats so special about tinned tomatoes? ????????????). #Covid_19 #Dublin https://t.co/rGsM8xUxr6","Assess the sentiment and message conveyed in the tweet above about the corona virus pandemic handling. Choose a label from the options and provide a concise justification in JSON format, considering specific details and context.",Negative,"The tweet conveys a negative sentiment about the current situation, specifically in supermarkets during the pandemic. The user mentions being surprised and unhappy with the lack of stock of tinned tomatoes, hinting at potential panic buying or shortages. This reflects frustration and inconvenience experienced during the pandemic.","Here are some example tweets about the corona virus pandemic handling:

  * ""So grateful for all the frontline workers who helped us get through this pandemic!"" (Positive)
  * ""Frustrated with the mixed messages from officials about the pandemic. Wish there was a clear plan."" (Negative)
  * ""Finally seeing a decrease in cases! Maybe we can finally move on from this."" (Neutral)

Now, assess the sentiment and message conveyed in the following tweet about the corona virus pandemic handling:",Negative,"The tweet expresses frustration with the current situation in supermarkets due to the pandemic and questions the significance of tinned tomatoes, indicating a sense of confusion and disbelief. The use of 'barmy' suggests a negative tone towards the handling of the situation.","The COVID-19 pandemic has been ongoing for several years, with many countries now in various stages of recovery. 

Now, evaluate the overall sentiment and message in the following tweet regarding corona virus pandemic handling:

  * Consider whether the tweet reflects on past handling of the pandemic or the current situation.
  * Look for clues about the author's opinion on the effectiveness of the response.",Negative,"The tweet expresses frustration and confusion over the current situation in supermarkets due to the pandemic. The author questions the necessity of stocking up on tinned tomatoes, implying a lack of understanding or agreement with current shopping behaviors related to COVID-19."
